content,score
"Maaf ya, ini yang punya aplikasi kan situ, terus kenapa pemeliharaan dan pengembangan sistem biayanya di bebankan kepada pembeli dengan adanya biaya layanan dan biaya penanganan, seharusnya pelanggan itu diberi fasilitas yang baik agar pelanggan betah belanja. Ini malah diberi tambahan beban biaya. Aneh bin ajaib.",1
"Kalau bisa harga samaain,dgn harga pasaran,harga nya beda jauh sama harga toko/pasar,trus ongkir juga hrus nya jgn di gratisin.ksihan penjual kecil,toko,pasar bnyak yg ngeluh smenjak ada online.",1
"dari dulu udah pake aplikasi lazada dan selalu belanja online disini , tapi knpa akun saya tidak ada lazpaylater sedangkan akun yg jarang belanja ada 😔 , mohon sistem nya di perbaiki untuk akun"" seperti saya yg sudah berlangganan",5
"dulu jaman kuliah pernah belanja di sini., sering malah Sampek pada satu ketika kok pelayanan nya buruk baik produk juga kurir nya... lalu saya memutuskan utk utk menggunakan Lazada dan beralih ke marketplace lain., dan kira-kira dua minggu yg lalu ktk lagi nge games melihat satu produk di Lazada... dan mencoba kmbali memesan. TRNYATA LAZADA SKRG KMBALI SPRTI DAHULU... BAGUS... PENGIRIMAN CEPAT., PRODUK JUGA BAGUS DAN KURIR NYA JUGA BAGUS. SEMOGA LAZADA SEMAKIN BAIK DAN TERUS SEMAKIN BAIK.",5
"Berkali kali pengajuan Lazada paylater tidak pernah lolos...PARAH...!!!! Mending pake aplikasi sebelah yang ga ribet....!!! Paling setelah saya tulis ulasan,balasan dari Lazada ""Silahkan email/hub contact center untuk menyampaikan keluhan anda""....BASI....!!!! Aplikasi tidak ada pilihan pengiriman instan...yg ada hanya pengiriman ekspedisi...!!! Ga kayak aplikasi yang lain...!!!",1
"Berkali kali pengajuan Lazada paylater tidak pernah lolos...PARAH...!!!! Mending pake aplikasi sebelah yang ga ribet....!!! Paling setelah saya tulis ulasan,balasan dari Lazada ""Silahkan email/hub contact center untuk menyampaikan keluhan anda""....BASI....!!!! Aplikasi tidak ada pilihan pengiriman instan...yg ada hanya pengiriman ekspedisi...!!! Ga kayak aplikasi yang lain...!!!",1
"belanja mudah,,tapi mau dpt cashback koq ada minimal belanjanya ya.. kalo bisa cashback tu tiap belanja meski cuma belanja 10rb.biar konsumen makin betah di lazada.buat ongkir sih oke"" aja..",3
"Aplikasinya suka eror,misal kita klik barang tdk muncul opsii ""beli, masukan dlm troli, plihan farian barang dll"" Sering terjadi padahala aplikasinya udh di upgrade...!! Kok masih suka eror..?????",2
Tolong gausah lagi eror eror tutup aplikasi . Setiap buka lazpanen slalu begitu heran banget padahal udah mau panen dan tinggal dikirim tapi setiap di klik slalu keluar aplikasi nya!!!!,5
"Emang paling rekomendasi banget nih aplikasi Mudah, Cepat dan di jamin keaslianya. tapi sayangnya susah banget untuk mendaftar Lazpaylater dan mendapatkan limit yg besar. padahal kalau di permudah Makin banyak untuk berbelanja di aplikasi ini.",5
Lazadaaaaa kenapa proses peninjauan informasi lazada affiliate la bangetttt Udah berbulan bulan yang disetujui cuma informasi pajak. Informasi umum sama informasi pembayaran dari dulu gk terus meninjau. Komisi gk cair cair. Jadi males buat promosiin lagi padahal komisi udah lumayan. Beda banget sama aplikasi sebelah proses nya cepet dapet komisi langsung cair gk lemooottttt kaya ini. Tolong diperbaiki nanti ditambah bintang nya,1
apaan.. gratis ongkir nipu.. dalih nya aktivitas tidak sesuai v01.. hp baru nomor baru gk masuk akal kena pelanggaran (nomer hp terhubung dengan akun lain) . udah jelas 1 nomor hp cuma bisa buat 1 akun. hadeuhh .. kalo udah gk mampu gaji karyawan expedisi mnding gk usah ada voucher gratis ongkir. php doang.,1
"Aplikasinya udah bagus tapi sayang disalahgunakan oleh orang-orang yang tidak bertanggungjawab. Saya pake lazpaylater telat bayar 4 hari kena denda 80rb padahal cuma 34.000. Saya liat di internet cuma 0,3% perhari dan coba tanyakan ke penagih tapi malah ngancam bakal denda lagi. Tolong Lazada lebih diutamakan kembali kepuasan pelanggan 😊🙏🏻",1
Kalau pemilihan pengiriman bagi pembeli sudah ada baru kasi bintang 5 soalx ini penting karna disetiap daerah beda2 expedisi yg dekat dan terjangkau karna kadang kurir juga ngak ngantar kalau libur jadi bisa jemput kalau barang genting seperti di daerah saya JNT sangat buruk karna paket kadang di return tanpa ada informasi dari kurir atau pihak kantor bahkan paket hilang dan banyak lgi jadi tolong LAZADA aktifkan pilihan expedisi saat pembelian di lakukan terimakasih.. SUKSES UNTUK LAZADA 💪,2
"Dulu suka pake aplikasi ini,karna Pengiriman cepat dan ongkir lumayan murah😊 tapi sekarang Tidak lagi karna Pengiriman sekarang terlalu lama,Baru Pesanan selalu Terbatalkan sendiri sampi-sampai saya tidak bisa lagi COD🥱😏Mohon Diperbaiki lagi",3
"Tambahin fitur pilih jasa pengiriman, biar bisa pilih mana yang bagus mana yang lambat, saya ngalamin skarang, pesanan saya harusnya datang tanggal 6 Agustus tapi sampe skarang blom sampe juga, dan tolong untuk pihak pengiriman konsisten dan tepat waktu biar pembeli juga ga kecewa Smentara ini saya tidak kasih bintang, sangat kecewa banget sring di undur waktu dan sering di kembalikannya barang ke penjual",1
"Tambahin fitur pilih jasa pengiriman, biar bisa pilih mana yang bagus mana yang lambat, saya ngalamin skarang, pesanan saya harusnya datang tanggal 6 Agustus tapi sampe skarang blom sampe juga, dan tolong untuk pihak pengiriman konsisten dan tepat waktu biar pembeli juga ga kecewa Smentara ini saya tidak kasih bintang, sangat kecewa banget sring di undur waktu dan sering di kembalikannya barang ke penjual",1
"Satu. Bintang sudah cukup untuk sementara, Sebelum pihak-pihak yang berjualan di lazada ngasih pelayanan yang bagus,. Dalam hal ini saya mengeluhkan atas pengiriman yg terbilang cukup lama, itu juga karena penjual tidak memberikan pilihan kurir/expedisi lain, seperti jnt atau JNE, ini sangat tidak menyenangkan. Harap pihak lazada memperhatika masalah ini atau konsumen anda akan beralih ke toko online yang lain.",1
Kasih 3 Bintang aja dulu.. karna sering kesel kurir nya tdak mau mengantar kan ke rumah langsung padahal bilang nya kan COD Tp ngantar nya setengah tengah andai kan aja Ada pilihan pengiriman nya kita bs pilih expedisi mana yg kita pakai mgkin lebih aman lebih enak juga buat kita yg pesen.,3
"(Tolong dong bantuannya, gimana cara mengatasi hacker di lazada), klo bisa setiap pembelian di Verifikasi kan terlebih dahulu dengan pengguna, seperti kirim otp, penggunaan kata sandi atau semacamnya, agar lebih aman dan terhindar dari penipuan, trims",2
"Bintang 3 dulu deh kak soalnya baru makai juga, tapi bagus sih untuk pengguna baru dapat potongan diskon dan voucher banyak sekali saya suka. Semoga selama saya makai lazada ini masih dapat diskon maupun voucher🤗",3
"Belanja di Lazada terkesan terlalu banyak biaya (kesannya malah negatif beli barangnya murah biayanya / ongkirnya malah yang mahal). Ada biaya penanganan, biaya layanan belum lagi ongkir. Biaya Layanan belum tentu pelayanan dan system di Lazada menjadi lebih baik. Coba cari solusi agar pembeli tidak dibebani oleh banyak biaya. Tq.",5
"saya si sering belanja di lazada' klau untuk pembelian baju menurut saya kurang memuaskan tetap klau untuk alat elektronik mudah"" saja sesuai gambar ja la.. ,, mudah' jah gak lemot barang yang saya order.. terima kasih'..",4
Aplikasi gak jelas banyak voucher discount muncul di akun tetapi tidak bisa di klik. Jadi fungsinya voucher discount di akun itu untuk apa kalo gak bisa di klik dan digunakan untuk mengurangi harga barang...!!?? 😤☹️,1
"Pengalaman belanja di lazada itu memudahkan ya, jadi gak ribet klo mau belanja. Tapi sekarang belanja di lazada jadi pikir 2x sebab selain biaya ongkir nya makin naik di setiap checkOut juga banyak biaya-biaya layanan dan pelayanan. Bila harga nya murah juga percuma karna ditambah biaya-biaya tersebut jadi harga normal. Mohon kebijakan nya lazada untuk mempermudah belanja kami, maaf bila ada yang tak berkenan di setiap kata saya Terima Kasih.",3
"Banyak penjual curang/penipu, namun aplikasi tidak menyediakan fitur chat secara langsung dengan cs aplikasi saat terjadi masalah. Sulit mengupload video bukti kepada penjual. Banyak fake account yang memberikan rate.",1
"tampilan pilihan rincian kredit pada Lazpaylater nya sekarang kurang menyenangkan, harus di klik 'Buat Pesanan' dulu baru terlihat simulasi biaya pembayaran perbulannya, padahal setiap pengguna belum tentu langsung ingin membeli kan, tidak seperti sebelumnya yang lebih menyenangkan tanpa harus meng klik 'Buat Pesanan' dulu..sudah terlihat rincian² pembayarannya jika ingin memilih opsi kredit berapa bulan yg ingin kita pilih",3
"sekarang jadi males belanja di lazada krn gak ada pemilihan jasa kurir di kasih masukan jg percuma gak ada perubahan masalahnya gak semua orang yg suka dg kurir yg itu2 aja contoh pernah paket saya di cancel sepihak sm kurirnya dan yg kedua baru2 udah hampir sebulan saya tungguin ternyata paket saya hilang meskipun dana saya di refund tetap saja saya rugi waktu dan apa yg saya dpt dari kesalahan kurir itu... gak ada, makanya semenjak itu saya jd males belanja di lazada gara2 kurir GAK JELAS..!!!",1
"Sekarang lazada sudah sangat cukup baik dari segala aspek,dari pelayanan dan segala kemudahan berbelanja, menurut saya sangat baik,hanya saja perlu di perhatikan seller dengan harga barang yang terlalu murah terutama dari gadget/elektronik..toko yang sangat minim deskripsi tolong di perhatikan kasian konsumen yang awam sekali dalam berbelanja online...selain dari itu bagi saya the best lah..thanks",5
"masih ada 3 voucher gratis ongkir,tp ketika check out voicher ga bisa digunakan dengan keterangan voucher tidak berlaku untuk akun anda,pdhl sehari sebelum nya masih bisa..",1
"Pengiriman nya sekarang tidak seperti dulu, sekarang pengiriman tidak sesuai estimasi. Pasti ada keterlambatan berhari-hari.",2
kurang suka cara pengiriman nya sering lewat kadang tiba2 padahal kita. Kan Ada kesibukan jga lebih tepat kurang TMP pada. Waktu yg sudah di tentukan,1
Sekarang belanja d lazada tuh ongkir nya mahal . Gak kaya dulu dulu mah paling mahal 9.000 apa 10.000 lbih. Gak seperti srkarang ongkirnya tuh 15.000 nyampe 30.000 lebih dulu mah kan ongkir mahal tuh kalo pengiriman dari luar negri. Tapi sekarang mah jauh deket sama aja . Jadi kalo mau beli yang murah tuh rugi kemahalan di ongkir. Mana ke daerah saya meh sekarang susah buat dapet gratis ongkir .,3
"Mau cek harga barang pake paylatter biar bisa tau harga perbulan nya berapa tapi malah harus di check out dulu, malah jadi ribet ya sekarang tuh. Mendingan kaya kemarin kemarin simple udah tertera berapa perbulan nya",2
"Dari dulu suka belanja di lazada. belum pernah ada keluhan mendalam kecuali pengiriman yang kadang telat banget. tapi selama ini barang dibeli aman aman saja, kualitas sesuai harga, informasi cukup memadai. Semoga ke depan lazada semakin bagus dan berkembang serta menjadi yang terbaik.",5
"Aplikasi ini Sangat membantu sekali untuk kita yang suka berbelanja secara online,dan banyak bgt pilihan yang kita cari dan tentunya aplikasi ini sangat rekomended bgt buat kita untuk berbelanja online dengan barang dan pilihan yang kita mau tentunya. Jadi jangan ragu buat install ya kawan!😊",5
"Sangat terbantu dngn adanya LAZADA❤️....cukup menyingkat waktu dan tenaga bila ingin beli sesuatu cukup dirumah sj dan ngga perlu melipir k pasar,...apalagi klo lg ad promo n gratis ongkir...cuma dukanya klo barang dikirim tdk sesuai pesanan/deskripsi...✌️✌️",5
"Gk ada pilihan expedisi nya, apalagi klo pas yg ngater expedisi Jne paling lama dan lemot, satu miggu lebih baru sampai.",1
"Ongkirnya naik parah. Jadi 2 sampe 3 kali lipat dari sebelumnya. Mana ekspedisi gak bisa milih, kemaren pernah chekout barang pas di jalan malah dicancel seenaknya sama pihak ekspedisi, gak jelas banget. Alasannya karena alamat salah, padahal alamat yg aku pake gak pernah ganti, dan barang² pesanan nyampe ke rumah tanpa nyasar tuh",2
"Limit lazlater masih 900 ribu tpi ngga bisa buat pembayaran, padahal udh sering belanja tpi malah kaya gini. Cukup kecewa bnget pokonya..",1
"Padahal pesanan sudah di batalkan tapi status nya di kirim, padahal sudah di setujui. Status pesanan juga sering sekali nge bug, saya harap lazada kedepannya semakin baik.",4
Kasih bintang 4 dulu ya saya kalo udah bagus saya tambahkan lagi bintang nya menemukan bug di bantuan masa eror mau minta bantuan dari pihak Lazada mau lacak pesanan saya,4
Kasih bintang 4 dulu ya saya kalo udah bagus saya tambahkan lagi bintang nya menemukan bug di bantuan masa eror mau minta bantuan dari pihak Lazada mau lacak pesanan saya,4
4x pesanan gagal kirim. Agak lain ngirim paket malam. Ketika lagi gk ada di tempat. Mulai detik ini saya uninstall apk ini,1
4x pesanan gagal kirim. Agak lain ngirim paket malam. Ketika lagi gk ada di tempat. Mulai detik ini saya uninstall apk ini,1
"Aplikasi tak berguna,kurir sering menagih biaya diluar harga yang sudah tertera.potongan gratis ongkir cuma iklan saja,tidak sesuai fakta,ongkir tidak flat seluruh Indonesia lagi.",1
"Sangat parah banget, saya tidak pernah merasa pesan dari apl lazada, barang datang ke rmh saya dengan pembayaran cod, saya udah konfirmasi kepada pihak lazada gak ada tanggapan nya..",1
Main game dapet beras gratis sekarang kena biaya penanganan 1000 perak. Emang gak seberapa duit nya tp sakit nya itu udah main berbulan bulan udah buang² kuota banyak waktu sekarang bayar 1000 perak.,1
Cash back akhirnya tidak bisa digunaka..giliran order belum dpt cashback bisa di gunakan dengan promo ongkir dan cashback tp giliran cashback udh dapet tidak bisa digunakan kena pelanggaran v01&v02 sangat kecewa bngt sama lazada,1
saya sangat senang belanja di lazada.asalkan barangnya selalu sesuai diskripsi dan gambar semoga selalu sukses trimakasi lazada langganan selalu kurirnya juga ramah semuanya dan juga baik.,5
"lazada secara keseluruhan sudah bagus, tolong lebih di perketat untuk kriteria toko super, sebab banyak yg super tapi, jualannya menipu konsumen, seperti barang yg tidak real pict, atau barang yg di jual tidak sesuai dengan deskripsi yg tertulis.",5
"aplikasi nya ini bagus banget, tapi bikin nagih dan bikin dompet keringTwT ,karena murah², jadi aku saranin belanja di sini aja><",4
"Tidak memuaskan, tanggal pengiriman terlalu lama, mau beli aja, dipersulit Sistemnya di bikin canggih dong, pertama beli mau menghilangkan kepercayaan,saya baru beli aja waktunya di ulur... Buka tautan sering eror apl nya",1
"Di LAZADA Barangnya Lebih murah harganya dg produk sama dibanding app lain, apalagi promonya menarik, sayang blm ada paket pinjolnya...hahahaaaa",4
"Aplikasi nya sangat bagus mudah di pahami, dan banyak diskon kurir nya jugasangat sigap dalam mengantarkan barang cs nya juga responsif dalam menghadapi masalah costumer sangat membantu dalam berbelanja",5
"Saya suka/sering belanja di LAZADA, karena selalu bisa COD, kalo yang barang udah siap di order, harus bayar dulu ke luar rumah dan jauh yaitu ke Alfa",5
"LAZADA...is the best🥰 semua yang kita butuh khan semua ada di sini...Belanja dengan cepat,mudah,aman dan murah karna banyak vuocher nya😁😁 terima kasih...LAZADA",5
"Sayangnya ekspedisi LEX ID kurirnya nggak mau antar paket,main cancel aja,paket sedang ditungguin dari china sudah sampai di kabupaten 1 minggu nggak dikirim ke alamat saya,malah di balikan lagi ke seller apa apaan itu,laporannya paket ditolak oleh penerima,setiap ekspedisinya LEX ID sudah pasti paket tidak akan sampai ..",5
"Sebenarnya apk lazada sudah bagus, belanja online jadi lebih mudah dan gampang, dari gratis ongkir sampai bonus dadakan, tapi kenapa harus ada biaya tambahan? satu hal yg bikin saya kecewa,kendala pengiriman. Banyak kurir baru yg mengcansel pengiriman paket, aturan tertulis pengiriman hari ini, menjadi besok, seharian menunggu paket, malah di cansel, sangat mengecewakan. Tolong kedepannya perbaiki pengiriman, terutama buat kurir kurir nya terimakasih 🙏",4
"Belanja jadi lebih mudah,, banyak pula promo dan diskon sm gratis ongkir,, Jadi ga perlu cape2 nyari barang keliling toko.. Belanjadrmh aja .. 😁😁",5
Saya sudah sering terima pesanan khususnya kurir ninja ada yg barangnya gk sesua dan paling buat saya kecewa ketika pesanan saya trima tapi isinya tdk ada,1
Saya sudah sering terima pesanan khususnya kurir ninja ada yg barangnya gk sesua dan paling buat saya kecewa ketika pesanan saya trima tapi isinya tdk ada,1
"banyak gratis ongkir n vocher, harga murah n barang berkualitas semoga semakin baik lagi memilih toko yg amanah untuk melayani konsumen, maju terus lazada.",5
"Pengiriman nya selalu sedikit lambat...tapi masih bisa lah Masalah nya kurir nya selalu nggak nyampek ke lokasi/kampung saya,harus ngambil lagi ke kampung sebelah... Klu udah d benerin harus nya bntng 5!?",2
"Lazada udah mulai ikut ikutan Si Oren sama Si Ijo setiap transaksi sekarang dikenakan Biaya Layanan, ga menutup kemungkinan Biaya Penanganan juga ada.. Padahal awal nya aku belanja di Lazada salah 1 alasan nya karna tanpa Biaya Tambahan lain seperti Biaya Layanan itu, tp skrg malah sama aja kaya si Oren dan si Ijo. Kalo smw nya sama aja kaya PT lain, itu bukan persaingan namanya. Justru kalo mau bersaing itu harus bisa lebih unggul dari kompetitor.",1
"ga ada masalah apa2 tentang akun saya , bisa bisa nya aplikasi vbilang kalau akun nya ga bener , lol bgt , pindah sebelah aja lah , rugi terus install ni aplokasi , ga recomended bgt sekaranh",1
"saya pengguna / pelanggan baru, sebelum nya saya di toko online sebelah. Saya kasih bintang 3 dulu ya...soal nya metode pembayaran nya gak bisa pake BRI atau linkaja..",3
Knp selalu gabisa pakai voucher gratis ongkir dan diskon ya :) Saya jd kesusahan buat belanja selalu gajadi nihhh. Email developer jg gabisa dihubungi ini gmn ya?saya harus menghubungi kmn ya? mohon bantuannya 🙏🏻,2
"Pegiriman cepat? ngimpiiiii...!!!!!! marketplace ga guna, sempat penasaran karena iklan yg sering muncul. Kirain bakal lebih baik dibanding dulu. Ehhh tetep sama ajaaa Pengiriman lambat, ga jelas barang sampe mana, mau hubungi call center aplikasi ga respon. Busuk paaarrrrraaaahh pokonya.!!!!",1
"Selebihnya bagus,tapi ada satu kekurangan yaitu....iklan dimana mana menguasai hampir seluruh aplikasi,situs,dan game sampai di handphone sekalipun,saya sering sebut ini hacker iklan,tentang pengiriman itu tergantung jasa pengiriman ,bukan tokonya,tentang barang tidak sesuai itu kesalahan kita saat memilih produk terlebih bukan official store..,dalam segi cashback, voucher toko dan voucher gratis ongkir itu bekerja dengan baik,untuk kedepannya mohon ditingkatkan lagi kualitas aplikasinya.Tks",5
"Selebihnya bagus,tapi ada satu kekurangan yaitu....iklan dimana mana menguasai hampir seluruh aplikasi,situs,dan game sampai di handphone sekalipun,saya sering sebut ini hacker iklan,tentang pengiriman itu tergantung jasa pengiriman ,bukan tokonya,tentang barang tidak sesuai itu kesalahan kita saat memilih produk terlebih bukan official store..,dalam segi cashback, voucher toko dan voucher gratis ongkir itu bekerja dengan baik,untuk kedepannya mohon ditingkatkan lagi kualitas aplikasinya.Tks",5
Lazada 2kali paket sy lewat ninja selalu bermasalah tdk sampai lambat.sy sgt2 di rugikan waktu.namanya buang waktu apa tdk bisa kirim lewat jasa lain.berpuluh2 kali paket saya selalu lancar.kenapa sejak lewat ninja bermasah.sampai akun sy tdk bisa cod.sampai ganti akun .gara ninja tdk tinggalkan alamat tlp/ wa,1
Lazada jelek banget. Kurangnya fitur Waktu estimasi tidak berlaku lagi. Pengiriman tidak jelas & sangat lama. Nyesal belanja melalui Lazada,1
"mudah dan menyenangkan belanja di lazada, sering jg dapat promo,dan gak pake ribet... sukses selalu deh pokoknya buat lazada",5
"Udah 7 tahun pakai lazada gak pernah pindah. Tapi sekarang lazada semakin pelit, ada biaya layanan dan penanganan. Pakai aplikasi ini, karena gak ribet. Sekarang ribet banget, ongkir setiap bulan nya naik. Yang awal nya dulu 14.000 sekarang 24.000 Kecewa juga sama lazada, gak bisa konsisten dalam sistem nya.",4
"Lazada makin lama makin lelet yg ngirim paket nya.paket saya uda seminggu nungguin paket ga nyampe""ini,bahkan ada paket saya yg nyampe nya 2 minggu..tolong dong di percepat pengiriman nya..lazada makin lama makin kacau dlm pengiriman ga tepat tanggal.kurir nya juga ga mau ngenter pakett",3
"turun bintang bos qu pendaftaran ke aplikasi lama bahkan tidak bisa ngirim notifikasi untuk pendaftaran nya lama sekali jadi menjengkelkan tapi ya sudahlah masih ada e-commerce yang lain ko yang pendaftarannya lebih mudah dan tidak ribet cepat dan tanggap satu bintang untuk aplikasi ini sementara sangat layak sih satu lagi untuk pengiriman pesanan sangat sangat lama bahkan pesanan saya selalu sampai ke rumah harus menunggu sampai setengah bulan baru sampai,kesimpulan : NOT RECOMMENDED APP 👎",1
"Tadinya seneng belanja di lazada selain murah cepet juga nyampenya... Eh makin kesini makin ga jelas ekspedisi nya.. kurir beda beda, pengiriman lambat, paket gagal di kirim terus, padahal dari pic yang kurir cantumkan dah di rumah kurir nya.. barang penting mau di pake malah di tahan. Tolong untuk pihak lazada kalo ada ekspedisi yang di kasih bintang satu di tindak, biar ga mempengaruhi rating lazada sendiri",2
"Lazada kacau, kagak ajukan pinjaman tiba2 ada acc pinjaman lazada, pas di cek aplikasi, limit pinjaman berubah nol dan menjadi tagihan, tidak ttd juga di kolom ttd digital, katanya dr sistem dianggap sudah ttd krn tdk ada tombol batalnya, padahal di aplikasi memang sudah tidk ada tombol batalnya.. ehh, ini malah di ping pong suruh komplainnya ke kredit pintar.. ngaco yaa.. pokoknya sy punya bukti semua dr screen shoot yg ada.. kalau ga ada respon, saya proses ini.. ini uangnya saya mau kembalikn",1
"Suka belanja di lazada,yah karena banyak geratis ongkir,saran sih kalau bisa geratis pesawat terbabang hehehe pesawatnya bukan tiketnya ya.. yah pokoknya terimakasih lazada telah memberikan pelayanan terbaik,tingkatkan rekomendasi dan produk yang baik agar pembeli tidak kecewa",5
"Lazada Memang parah bangat,Masa barang yg uda aku bayar,di batalkan bigitu saja,Gk ngotak mmng Setiap aja aku mau pesan eh sampe perjalanan di batalkan se enak nya sja",1
lazada makin kesini makin gk jelas masa setiap ingin checkout pake vocher ada tulisan tidak valid karena ada nya aktivitas yang tidak biasa (V01) maksudnya apa coba sudah saya chat CS nya gak membantu sama sekali hanya jawaban tamplate yang dikasih tolong lah kalo cuma alamat yang sama jangan terlalu sensitif kalo memang penerima nya sama kenapa harus dipersulit sih jadi males pake lazada lagi sudah saya uninstall ribet banyak aturan memang saya akui gratis ongkir yg diberikan sangat banyak,1
"Lazada selalu cepat respons tapi kadang ada juga stagnannya,layanannya bagus,harga barang banyak toleransinya ,di redmi note 7 bagus di redmi 4 juga bagus,gak leled...makasih Lazada...sukses selalu..!",5
